workshop_type,slug_auto,ethnicity
swc,2018-09-24-Imperial,NA
swc,2018-09-24-CERTH,NA
swc,2018-10-01-UW-swc,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-19-nwu-library-week,NA
swc,2018-09-22-UTA,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-12-new_england_tribes_USGS,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
swc,2018-09-24-koper,NA
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-12-new_england_tribes_USGS,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-emory,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
dc,Swansea-2018-09-20,NA
swc,2018-09-22-UTA,I prefer not to say.
swc,2018-09-24-python,NA
swc,2016-07-18-usq,NA
swc,2018-09-24-Imperial,NA
swc,2018-09-22-emory,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
swc,2018-09-22-emory,Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry – includes Portuguese and Brazilians.)
swc,2018-09-22-UTA,I prefer not to say.
swc,[workshop,NA
swc,2018-09-22-emory,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
dc,2018-09-27-ukzn,NA
swc,2018-09-24-koper,NA
swc,[workshop,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-UTA,NA
swc,2018-10-01-UW-swc,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
swc,2018-09-24-Imperial,NA
swc,[workshop,NA
swc,2018-09-24-Imperial,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-19-nwu-library-week,NA
swc,2018-09-24-koper,NA
swc,2018-09-21-sc,NA
swc,2018-09-22-emory,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-UTA,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
swc,2018-09-24-koper,NA
swc,2018-09-22-emory,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
dc,2018-09-29-tamu-kingsville,Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry – includes Portuguese and Brazilians.)
dc,2018-10-25-wsu,NA
swc,2018-10-01-UW-swc,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
dc,2018-09-27-ukzn,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-21-sc,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
swc,2017-02-16-rc-days,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-UTA,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
swc,2018-09-24-CERTH,NA
swc,2018-09-24-CERTH,NA
swc,2018-09-22-UTA,NA
swc,2018-10-01-UW-swc,"American Indian or Alaska Native(A person having origins in any of the original peoples of North and South America (including Central America), and who maintains a tribal affiliation or community attachment.);Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry – includes Portuguese and Brazilians.);White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
dc,2018-09-27-ukzn,NA
swc,2018-09-24-Imperial,NA
swc,2018-09-22-UTA,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
dc,2018-09-13-edinburgh,NA
dc,Swansea-2018-09-20,NA
swc,2018-09-22-emory,NA
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-29-tamu-kingsville,NA
dc,2018-09-10-utoronto,NA
dc,2018-09-27-ukzn,NA
swc,2018-10-08-Stonybrook-IACS-Python,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-27-ukzn,NA
swc,2018-09-24-koper,NA
dc,Swansea-2018-09-20,NA
swc,2017-02-16-rc-days,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)"
swc,2018-09-24-koper,NA
dc,2018-09-12-new_england_tribes_USGS,"American Indian or Alaska Native(A person having origins in any of the original peoples of North and South America (including Central America), and who maintains a tribal affiliation or community attachment.)"
dc,2018-09-10-jax,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
dc,2018-09-12-new_england_tribes_USGS,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
swc,2018-10-01-UW-swc,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)"
swc,2018-09-24-koper,NA
dc,Swansea-2018-09-20,NA
dc,Swansea-2018-09-20,NA
